KALINLIKID;KUMASCINSIID;IPLIKCINSIID;LYCRATIPIID;LYCRA;OZELLIKID;SIPARISKILO;SIPARISMETRE;PUS;FEINE;TUPACIKENMAYLI;ILAVEISLEMLER;ISLEMGRUBUID;BASKITIPIID;GRAMAJ;SIPARISPROSESID;PROSESID;RECETETURUID;LABRECETEGRUPID;LABRENKGRUPID;USTASAMAID;RENKDERINLIGIID;ICTAMIRVAR;PARTIACILISTARIHI;PARTIILKSEVKTARIHI;TERMINTARIHI
33;22;36;;0;;235;0;;;0;ENZİM, HİDROFİL SİLİKON;6;;185;504;504;44;2;9;126;99;0;18.02.2022;1.03.2022;11
33;20;36;16;1;;17;0;;;;ENZİM, HİDROFİL SİLİKON;6;;240;504;504;44;2;9;126;99;0;18.02.2022;1.03.2022;11
33;22;36;;0;;205;0;;;;ENZİM, HİDROFİL SİLİKON;1;;185;504;504;44;2;1;126;99;0;21.02.2022;28.02.2022;7
33;20;36;16;1;;18;0;;;;ENZİM, HİDROFİL SİLİKON;1;;240;504;504;44;2;1;126;99;0;21.02.2022;28.02.2022;7
;22;;;0;33;34;0;;;0;KENAR KESME KOLA, SİLİKON;1;;180;500;500;44;2;4;126;99;0;15.02.2022;23.02.2022;8
;317;;;0;;0;3063;;;0;;3;;235;126;126;38;3;1;78;99;0;17.02.2022;24.02.2022;7
;317;;;0;;0;100;;;0;;3;;200;150;150;38;3;1;78;99;0;17.02.2022;23.02.2022;6
63;22;129;;0;;250;0;;;0;ENZİM, KENAR KESME KOLA, SİLİKON;0;;150;500;500;17;2;1;126;99;0;15.02.2022;19.02.2022;4
;317;;;0;;0;1850;;;;;0;;200;149;149;17;3;1;13;99;0;1.03.2022;8.03.2022;7
;317;;;0;;0;559;;;;;3;;330;132;132;17;3;1;13;99;0;15.02.2022;21.02.2022;6
63;7;43;;0;17;23;0;;;0;ENZİM, SİLİKON;1;;340;517;517;44;2;1;126;99;0;15.02.2022;18.02.2022;3
;216;;;0;;0;10;;;;;3;19;;137;137;;;;;99;0;2.02.2022;9.02.2022;7
;317;;;0;;0;1300;;;;;0;;;58;58;17;3;1;13;99;1;18.02.2022;14.03.2022;24
;317;;;0;;0;10;;;0;;3;2;;153;153;;;;;99;0;13.09.2021;1.03.2022;169
;3.042;;;0;;0;10;;;;;1;1;;24;24;;;;;99;0;15.02.2022;26.02.2022;11
;628;;;0;;0;12;;;;;3;1;;24;24;;;;;99;0;16.02.2022;17.02.2022;1
63;22;25;;0;;103;0;;;0;SİLİKON;1;;150;527;527;44;2;3;126;99;0;15.02.2022;24.02.2022;9
63;20;29;;0;;13;0;;;;SİLİKON;1;;;527;527;44;2;3;126;99;0;15.02.2022;24.02.2022;9
;317;;;0;;0;1150;;;;;3;;;13;13;38;3;1;78;99;0;15.02.2022;21.02.2022;6
;317;;;0;;0;200;;;0;;3;2;;153;153;;;;;99;0;16.02.2022;28.02.2022;12
;317;;;0;;0;389;;;0;;1;19;121;136;136;;;;;99;0;16.02.2022;5.03.2022;17
;317;;;0;;0;18;;;0;;1;19;;203;203;;;;;99;0;15.02.2022;23.02.2022;8
63;22;25;;0;;103;0;;;;SİLİKON;1;;150;527;527;44;2;1;126;99;0;15.02.2022;24.02.2022;9
63;20;29;;0;;13;0;;;;SİLİKON;1;;;527;527;44;2;1;126;99;0;15.02.2022;24.02.2022;9
63;22;25;;0;;105;0;;;;SİLİKON;1;;150;527;527;44;2;5;126;99;0;15.02.2022;24.02.2022;9
63;20;29;;0;;14;0;;;;SİLİKON;1;;;527;527;44;2;5;126;99;0;15.02.2022;24.02.2022;9
;317;;;0;;0;661;;;0;;3;;;13;13;38;3;1;78;99;0;15.02.2022;23.02.2022;8
