KALINLIKID;KUMASCINSIID;IPLIKCINSIID;LYCRATIPIID;LYCRA;OZELLIKID;SIPARISKILO;SIPARISMETRE;PUS;FEINE;TUPACIKENMAYLI;ILAVEISLEMLER;ISLEMGRUBUID;BASKITIPIID;GRAMAJ;SIPARISPROSESID;PROSESID;RECETETURUID;LABRECETEGRUPID;LABRENKGRUPID;USTASAMAID;RENKDERINLIGIID;ICTAMIRVAR;PARTIACILISTARIHI;PARTIILKSEVKTARIHI;TERMINTARIHI
;317;;;0;;0;12500;;;;;3;2;140;48;47;;;;;99;0;1.03.2022;12.03.2022;11
63;22;36;17;1;;786;0;;;0;ENZİM, KENAR KESME KOLA, SİLİKON;6;;190;502;502;44;2;9;126;99;0;1.03.2022;5.03.2022;4
65;12;36;16;1;;31;0;;;;SİLİKON;1;;230;504;504;44;2;8;126;99;0;7.03.2022;11.03.2022;4
63;22;36;16;1;;183;0;;;0;ENZİM, KENAR KESME, SİLİKON;1;;195;502;502;44;2;3;126;99;1;1.03.2022;7.03.2022;6
;317;;;0;;0;12;;;0;;1;1;;24;24;;;;;99;0;1.03.2022;5.03.2022;4
;317;;;0;;0;7;;;;;3;19;;203;203;;;;;99;0;23.02.2022;24.02.2022;1
;317;;;0;;0;12;;;0;;1;1;;24;24;;;;;99;0;1.03.2022;5.03.2022;4
63;22;94;;0;;455;0;;;0;ENZİM, HİDROFİL SİLİKON;1;;150;500;500;44;2;8;126;99;0;1.03.2022;4.03.2022;3
63;22;114;;0;;1296;0;;;0;ENZİM, KENAR KESME KOLA, SİLİKON;1;;160;500;500;44;2;3;126;99;0;1.03.2022;5.03.2022;4
94;22;36;13;1;;533;0;;;0;ENZİM, IPEKSI APRE, KENAR KESME KOLA;1;;160;502;502;44;2;3;126;99;0;1.03.2022;4.03.2022;3
;3.036;;;0;;0;700;;;0;;1;;;68;67;;;;;99;0;4.01.2021;18.01.2021;14
;3.036;;;0;;0;600;;;;;1;;;68;67;;;;;99;0;4.01.2021;18.01.2021;14
;317;;;0;;0;1296;;;0;;1;;;1;1;1;3;1;7;99;0;1.02.2021;11.02.2021;10
;317;;;0;;0;8;;;0;;3;19;;203;203;;;;;99;0;29.12.2020;6.01.2021;8
94;22;36;13;1;;533;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;160;502;502;44;2;3;126;99;0;1.03.2022;4.03.2022;3
76;23;33;;0;;90;0;;;0;ENZİM, SİLİKON;1;;270;513;513;47;2;8;126;99;0;2.03.2022;11.03.2022;9
63;22;67;2;1;;5;0;;;;SİLİKON;0;19;190;2.084;2.084;44;2;1;126;99;0;1.03.2022;12.03.2022;11
;3.039;;6;1;;0;2500;;;;;6;;;2;2;1;3;9;7;99;0;1.03.2022;9.03.2022;8
65;12;36;16;1;;39;0;;;;ENZİM, SİLİKON;1;;350;500;500;47;2;8;126;99;0;2.03.2022;14.03.2022;12
;3.039;;6;1;;0;2500;;;;;1;;;2;2;1;3;8;7;99;0;1.03.2022;11.03.2022;10
;182;;;0;;0;80;;;;;1;;;126;32;38;3;1;78;99;0;30.12.2020;18.01.2021;19
;317;;;0;;0;7344;;;;;2;;255;269;269;;;;;99;0;4.01.2021;6.01.2021;2
;28;;;0;;0;2;;;;;3;19;;203;203;;;;;99;0;4.01.2021;9.01.2021;5
;317;;;0;;0;1250;;;0;;1;;235;32;32;14;3;8;41;99;0;4.01.2021;14.01.2021;10
;317;;;0;;0;904;;;;;1;;;5;5;2;3;4;8;99;0;6.01.2021;19.01.2021;13
;317;;;0;;0;50;;;;;3;;;126;126;38;3;1;78;99;0;14.04.2022;22.04.2022;8
;317;;;0;;0;21585;;;0;;1;;;4;4;1;3;9;7;99;1;2.03.2022;4.04.2022;33
63;12;36;35;1;6;1110;0;;;0;ENZİM, SİLİKON;6;;275;502;502;44;2;9;126;99;1;1.03.2022;5.03.2022;4
;317;;;0;;0;21585;;;;;1;;;4;4;1;3;8;7;99;1;1.03.2022;20.04.2022;50
;317;;;0;;0;23050;;;;;1;;;4;4;1;3;6;7;99;1;1.03.2022;5.04.2022;35
;317;;;0;;0;7250;;;;;1;;;4;4;1;3;9;7;99;1;1.03.2022;1.04.2022;31
;145;;;0;;0;1150;;;0;;1;;;6;6;2;3;1;8;99;0;21.04.2022;29.04.2022;8
;317;;;0;;0;3100;;;0;;3;;305;15;15;38;3;1;78;99;0;2.03.2022;8.03.2022;6
;317;;;0;;0;7250;;;;;1;;;4;4;1;3;8;7;99;0;2.03.2022;17.03.2022;15
33;12;36;16;1;;133;0;;;0;ENZİM, KENAR KESME, SİLİKON;1;;280;504;504;44;2;1;126;99;0;2.03.2022;7.03.2022;5
;317;;;0;;0;7250;;;;;1;;;4;4;1;3;6;7;99;1;2.03.2022;5.04.2022;34
;317;;;0;;0;2950;;;2;;1;;;4;4;1;3;6;7;99;1;2.03.2022;27.03.2022;25
;317;;;0;;0;3086;;;;;1;;;4;4;1;3;9;7;99;0;2.03.2022;1.04.2022;30
;1.747;;;0;;0;2600;;;0;;3;;;15;15;38;3;1;78;99;0;7.03.2022;13.03.2022;6
33;3.073;36;;0;;490;0;;;0;AZ ENZİM, SİLİKON;1;;210;500;500;44;2;2;126;99;0;13.04.2022;7.05.2022;24
;317;;;0;;0;3123;;;0;;1;;;2;2;1;3;9;7;99;1;3.03.2022;1.04.2022;29
63;22;36;;0;;137;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;160;500;500;44;2;3;126;99;0;1.03.2022;5.03.2022;4
;317;;;0;;0;1297;;;0;;3;;;13;13;38;3;1;78;99;0;8.03.2022;13.03.2022;5
;317;;;0;;0;33517;;;;;1;;;2;2;1;3;9;7;99;1;3.03.2022;1.04.2022;29
143;23;33;;0;;498;0;;;;ENZİM, SİLİKON;6;;280;513;513;47;2;9;126;99;0;10.03.2022;21.03.2022;11
65;12;36;16;1;;44;0;;;;ENZİM, SİLİKON;6;;370;504;504;47;2;9;126;99;0;10.03.2022;17.03.2022;7
63;22;36;;0;;23;0;;;;ENZİM, SİLİKON;6;;150;500;500;47;2;9;126;99;0;10.03.2022;17.03.2022;7
;39;;;0;;0;1075;;;;;3;;;13;13;38;3;1;78;99;0;1.03.2022;5.03.2022;4
;1.830;;;0;;0;1370;;;0;;1;;;4;4;1;3;2;7;99;0;1.03.2022;15.03.2022;14
;317;;;0;;0;20;;;0;;1;4;;41;41;;;;;99;0;2.03.2022;10.03.2022;8
;317;;;0;;0;2269;;;;;6;;;5;5;2;3;9;8;99;0;6.01.2021;18.01.2021;12
63;12;36;16;1;;20;0;;;0;ENZİM, KENAR KESME, SİLİKON;1;;260;502;502;44;2;1;126;99;0;2.03.2022;7.03.2022;5
;317;;;0;;0;700;;;0;;1;;;278;278;1;3;1;7;99;0;19.04.2021;23.05.2021;34
;1.778;;;0;;0;78;;;0;;1;;;81;81;2;3;1;8;99;0;8.01.2021;12.01.2021;4
;317;;;0;;0;3990;;;;;1;;;3;3;1;3;9;7;99;0;1.03.2022;7.03.2022;6
;317;;;0;;0;10;;;0;;1;19;100;203;203;;;;;99;0;1.03.2022;19.03.2022;18
;317;;;0;;0;10;;;;;1;19;100;203;203;;;;;99;0;1.03.2022;16.03.2022;15
;317;;;0;;0;275;;;0;;3;;270;13;13;38;3;1;78;99;0;1.03.2022;5.03.2022;4
63;22;152;5;1;;25;0;;;0;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;1;126;99;0;2.03.2022;6.03.2022;4
;39;;;0;;0;100;;;0;;3;;;15;15;38;3;1;78;99;1;11.03.2022;24.03.2022;13
;1.830;;;0;;0;2030;;;;;3;;;29;29;38;3;1;78;99;0;1.03.2022;9.03.2022;8
;317;;;0;;0;25;;;0;;1;1;;24;24;;;;;99;0;2.03.2022;12.03.2022;10
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;9;126;99;0;2.03.2022;10.03.2022;8
;317;;;0;;0;2;;;0;;3;19;;203;203;;;;;99;0;5.01.2021;11.01.2021;6
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;9;126;99;0;2.03.2022;10.03.2022;8
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;2;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
;317;;;0;;0;1500;;;0;;1;;200;32;1;14;3;1;41;99;0;2.02.2021;11.02.2021;9
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;3.069;55;;0;;3;0;;;;SİLİKON;3;19;240;2.084;2.084;49;2;1;126;99;0;28.02.2022;4.03.2022;4
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;5;126;99;0;2.03.2022;10.03.2022;8
;1.324;;;0;;0;1000;;;;;1;;;3;3;1;3;9;7;99;0;20.04.2022;1.05.2022;11
;628;;;0;;0;40;;;;;6;;;4;4;1;3;9;7;99;0;15.03.2022;27.04.2022;43
;317;;;0;;0;1000;;;;;1;;200;32;1;14;3;2;41;99;0;2.02.2021;11.02.2021;9
;317;;;0;;0;7738;;;0;;3;;;13;13;38;3;1;78;99;0;8.02.2021;12.02.2021;4
;28;;;0;;0;2;;;;;3;19;;203;203;;;;;99;0;4.01.2021;9.01.2021;5
;317;;;0;;0;2000;;;;;1;;;5;5;2;3;9;8;99;0;6.01.2021;15.01.2021;9
;39;;;0;;0;25;;;0;;3;19;;203;203;;;;;99;0;11.03.2022;24.03.2022;13
;933;;;0;;0;15;;;0;;3;19;;203;203;;;;;99;0;5.01.2021;12.01.2021;7
;317;;;0;;0;56000;;;0;;3;2;70;48;47;;;;;99;1;21.02.2022;21.04.2022;59
;317;;;0;;0;1130;;;;;3;;;29;18;38;3;1;78;99;0;4.01.2021;6.01.2021;2
;317;;;0;;0;1000;;;;;1;;200;125;1;20;3;5;76;99;0;2.02.2021;17.02.2021;15
;317;;;0;;0;1000;;;;;1;;200;125;1;20;3;3;76;99;1;2.02.2021;18.02.2021;16
;317;;;0;;0;7;;;0;;1;19;330;203;203;;;;;99;0;2.03.2021;9.03.2021;7
;317;;;0;;0;10;;;;;1;19;330;203;203;;;;;99;0;2.03.2021;9.03.2021;7
;317;;;0;;0;21303;;;0;;3;;;151;151;38;3;1;78;99;1;2.03.2021;17.03.2021;15
;317;;;0;;0;10;;;0;;0;19;235;203;203;;;;;99;0;13.01.2021;20.01.2021;7
;317;;;0;;0;1904;;;;;1;;;5;5;2;3;5;8;99;1;6.01.2021;19.01.2021;13
;317;;;0;;0;1905;;;;;1;;;5;5;2;3;5;8;99;0;6.01.2021;15.01.2021;9
;3.039;;;0;;0;5;;;0;;1;19;;203;203;17;3;1;13;99;0;5.01.2021;8.01.2021;3
;317;;;0;;0;1500;;;;;1;;;5;5;2;3;6;8;99;0;6.01.2021;15.01.2021;9
;317;;;0;;0;15;;;;;3;19;;203;203;;;;;99;0;5.01.2021;12.01.2021;7
;317;;;0;;0;4565;;;0;;3;;320;151;151;38;3;1;78;99;0;4.01.2021;7.01.2021;3
;187;;;0;;0;3010;;;;;6;;;68;67;1;3;9;7;99;1;4.01.2021;15.01.2021;11
;317;;;0;;0;2550;;;0;;1;1;;40;40;;;;;99;1;5.01.2021;31.01.2021;26
;216;;;0;;0;3180;;;;;1;;;68;67;1;3;8;7;99;0;4.01.2021;12.01.2021;8
;187;;;0;;0;125;;;;;1;;;68;67;1;3;9;7;99;0;4.01.2021;11.01.2021;7
;705;;;0;;0;1000;;;;;1;2;;84;84;17;3;1;13;99;0;11.12.2020;28.01.2021;48
;317;;;0;;0;1180;;;0;;1;19;125;136;136;;;;;99;0;29.01.2021;11.02.2021;13
;317;;;0;;0;1250;;;;;1;1;;40;40;;;;;99;1;5.01.2021;29.01.2021;24
;317;;;0;;0;3065;;;;;3;;265;29;29;38;3;1;78;99;0;1.03.2022;7.03.2022;6
;317;;;0;;0;15;;;0;;1;19;340;203;203;;;;;99;0;1.03.2022;13.03.2022;12
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;5;126;99;0;2.03.2022;10.03.2022;8
;175;;;0;;0;35;;;0;;6;;;1;1;1;3;9;7;99;0;5.01.2021;29.01.2021;24
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;2;126;99;0;2.03.2022;12.03.2022;10
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;5;126;99;0;2.03.2022;9.03.2022;7
;933;;;0;;0;20;;;;;3;2;;153;153;;;;;99;0;8.01.2021;15.01.2021;7
;933;;;0;;0;20;;;;;3;2;;153;153;;;;;99;0;8.01.2021;15.01.2021;7
;3.039;;;0;;0;50;;;;;1;19;;203;203;17;3;1;13;99;0;11.01.2021;14.01.2021;3
;317;;;0;;0;228;;;;;3;;;13;13;38;3;1;78;99;1;5.01.2021;29.01.2021;24
63;7;70;;0;;7;0;;;0;SİLİKON;3;19;250;2.086;2.086;;;;;99;0;7.03.2022;12.03.2022;5
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;5;126;99;0;2.03.2022;12.03.2022;10
;317;;;0;;0;20;;;0;;3;2;70;48;47;;;;;99;0;21.02.2022;2.03.2022;9
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;5;126;99;0;2.03.2022;10.03.2022;8
;3.039;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;7.04.2021;29.04.2021;22
;317;;;0;;0;20;;;;;1;2;360;48;47;;;;;99;0;7.04.2021;16.04.2021;9
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
;317;;;0;;0;1;;;0;;3;19;;203;203;;;;;99;0;15.04.2021;28.04.2021;13
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
;3.039;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;7.04.2021;29.04.2021;22
;3.039;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;7.04.2021;29.04.2021;22
;317;;;0;;0;6;;;0;;1;19;250;203;203;;;;;99;0;16.04.2021;28.04.2021;12
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
;3.039;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;7.04.2021;29.04.2021;22
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
;317;;;0;;0;31;;;0;;1;19;;203;203;;;;;99;0;20.04.2021;28.04.2021;8
;317;;;0;;0;42838;;;;;1;1;220;94;94;8;3;1;10;99;0;19.04.2021;4.08.2021;107
81;23;43;;0;52;425;0;;;;ENZİM, HİDROFİL SİLİKON;1;;310;513;513;47;2;4;126;99;0;1.04.2022;12.04.2022;11
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
;317;;;0;;0;2299;;;;;1;;;1;1;1;3;9;7;99;0;4.01.2021;12.01.2021;8
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
;40;;;0;;0;620;;;0;;1;19;260;209;209;;;;;99;0;16.04.2021;27.05.2021;41
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
63;7;78;;0;60;3;0;;;;SİLİKON;3;19;290;2.084;2.084;49;2;1;126;99;0;1.03.2022;4.03.2022;3
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;3;126;99;0;2.03.2022;12.03.2022;10
;317;;;0;;0;1255;;;;;1;;320;1;1;1;3;8;7;99;1;4.01.2021;23.01.2021;19
;317;;;0;;0;4578;;;0;;1;;;8;8;2;3;1;8;99;1;22.01.2021;8.02.2021;17
63;7;70;;0;;7;0;;;;SİLİKON;3;19;250;2.086;2.086;;;;;99;0;7.03.2022;12.03.2022;5
;317;;;0;;0;21912;;;0;;3;;380;151;151;38;3;1;78;99;1;22.01.2021;29.01.2021;7
;317;;;0;;0;4118;;;;;3;;;13;13;38;3;1;78;99;0;22.01.2021;28.01.2021;6
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;3;126;99;0;2.03.2022;6.03.2022;4
;317;;;0;;0;3550;;;;;3;;;29;18;38;3;1;78;99;1;4.01.2021;8.01.2021;4
;317;;;0;;0;8;;;0;;0;19;;203;203;17;3;1;13;99;0;1.03.2022;5.03.2022;4
;317;;;0;;0;1150;;;;;3;;;29;18;38;3;1;78;99;0;4.01.2021;6.01.2021;2
;317;;;0;;0;3862;;;;;3;;;29;18;38;3;1;78;99;0;4.01.2021;6.01.2021;2
63;22;152;5;1;;27;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;190;502;502;44;2;4;126;99;0;2.03.2022;12.03.2022;10
;317;;;0;;0;4025;;;;;2;;255;269;269;;;;;99;0;4.01.2021;6.01.2021;2
;317;;;0;;0;7;;;;;1;19;270;137;137;;;;;99;0;7.12.2020;7.01.2021;31
;317;;;0;;0;25;;;0;;3;2;;153;153;;;;;99;0;8.01.2021;16.01.2021;8
;3.039;;;0;;0;5;;;0;;1;19;;203;203;;;;;99;0;1.03.2022;10.03.2022;9
;317;;;0;;0;16100;;;0;;3;;;126;18;38;3;1;78;99;1;5.01.2021;19.01.2021;14
;317;;;0;;0;4912;;;0;;3;;;13;13;38;3;1;78;99;0;5.01.2021;12.01.2021;7
;317;;;0;;0;383;;;0;;3;;;13;13;38;3;1;78;99;0;6.01.2021;12.01.2021;6
;317;;;0;;0;15;;;0;;1;2;;191;191;;;;;99;0;5.01.2021;12.01.2021;7
;317;;;0;;0;11033;;;;;3;;;13;13;38;3;1;78;99;1;5.01.2021;9.01.2021;4
;317;;;0;;0;8;;;0;;3;19;;136;136;;;;;99;0;8.11.2020;11.01.2021;64
;317;;;0;;0;25;;;;;3;2;;153;153;;;;;99;0;8.01.2021;16.01.2021;8
;317;;;0;;0;1319;;;0;;3;;;126;18;38;3;1;78;99;0;6.01.2021;12.01.2021;6
;317;;;0;;0;1955;;;0;;3;;;126;18;38;3;1;78;99;0;6.01.2021;12.01.2021;6
;317;;;0;;0;1250;;;;;3;;;15;2;38;3;1;78;99;0;6.01.2021;1.06.2021;146
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;8.11.2020;11.01.2021;64
;317;;;0;;0;3500;;;;;1;;;5;5;2;3;5;8;99;0;5.01.2021;14.01.2021;9
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;8.11.2020;11.01.2021;64
;317;;;0;;0;6298;;;;;1;;;54;54;18;3;9;15;99;0;5.01.2021;12.01.2021;7
;317;;;0;;0;25;;;;;3;2;;153;153;;;;;99;0;8.01.2021;16.01.2021;8
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;8.11.2020;11.01.2021;64
;317;;;0;;0;450;;;;;1;;;2;2;1;3;1;7;99;0;6.01.2021;16.04.2021;100
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;8.11.2020;11.01.2021;64
;317;;;0;;0;20;;;0;;6;;;80;80;1;3;9;7;99;0;1.03.2022;3.03.2022;2
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;8.11.2020;11.01.2021;64
;317;;;0;;0;15;;;;;1;2;;191;191;;;;;99;0;5.01.2021;12.01.2021;7
;1.777;;;0;;0;1;;;0;;3;19;;203;203;;;;;99;0;15.02.2022;10.03.2022;23
;317;;;0;;0;15;;;;;1;2;;191;191;;;;;99;0;5.01.2021;9.01.2021;4
;1.777;;;0;;0;1;;;;;3;19;;203;203;;;;;99;0;15.02.2022;10.03.2022;23
;3.039;;;0;;0;5;;;;;1;19;;203;203;17;3;1;13;99;0;5.01.2021;7.01.2021;2
;317;;;0;;0;640;;;;;6;;;88;88;1;3;9;7;99;0;15.01.2021;26.01.2021;11
;1.777;;;0;;0;1;;;;;3;19;;203;203;;;;;99;0;15.02.2022;10.03.2022;23
63;21;72;;0;;2798;0;;;0;SİLİKON;3;;280;513;513;49;2;1;126;99;0;2.03.2022;5.03.2022;3
;3.039;;;0;;0;30;;;;;1;19;;159;159;17;3;1;13;99;0;18.06.2020;7.01.2021;203
;317;;;0;;0;136;;;0;;1;19;285;208;208;;;;;99;0;5.01.2021;20.01.2021;15
;317;;;0;;0;3520;;;0;;1;;;1;1;1;3;1;7;99;0;5.01.2021;16.01.2021;11
;317;;;0;;0;2970;;;;;1;;;1;1;1;3;9;7;99;0;5.01.2021;16.01.2021;11
;317;;;0;;0;1534;;;;;1;;;1;1;1;3;5;7;99;0;5.01.2021;16.01.2021;11
;317;;;0;;0;1767;;;0;;1;;;32;32;14;3;4;41;99;1;5.01.2021;14.01.2021;9
63;22;33;;0;;13;0;;;0;ENZİM, SİLİKON;6;;;504;504;44;2;9;126;99;0;5.03.2022;8.03.2022;3
;317;;;0;;0;110;;;;;1;;;32;32;14;3;1;41;99;0;5.01.2021;15.01.2021;10
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;8.11.2020;11.01.2021;64
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;8.11.2020;11.01.2021;64
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;23.12.2020;13.01.2021;21
;175;;;0;;0;35;;;;;6;;;1;1;1;3;9;7;99;0;5.01.2021;20.01.2021;15
;317;;;0;;0;466;;;;;3;2;;48;47;;;;;99;0;8.11.2020;12.11.2020;4
;317;;;0;;0;100;;;;;3;1;;40;40;;;;;99;0;12.03.2022;15.03.2022;3
;317;;;0;;0;3700;;;0;;1;2;145;48;47;;;;;99;0;13.01.2021;25.01.2021;12
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;23.12.2020;13.01.2021;21
;317;;;0;;0;200;;;0;;1;1;;94;94;9;3;1;10;99;0;16.02.2021;25.02.2021;9
;212;;;0;;0;593;;;0;;3;2;;183;183;;;;;99;1;16.02.2021;3.03.2021;15
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;23.12.2020;13.01.2021;21
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;23.12.2020;13.01.2021;21
;317;;;0;;0;8;;;;;3;19;;136;136;;;;;99;0;23.12.2020;13.01.2021;21
;3.039;;;0;;0;102;;;0;;1;;125;32;32;14;3;5;41;99;0;5.01.2021;1.06.2021;147
;317;;;0;;0;775;;;;;6;;;88;88;1;3;9;7;99;0;15.01.2021;26.01.2021;11
;40;;;0;;0;150;;;0;;1;;;2;2;1;3;5;7;99;0;5.01.2021;15.01.2021;10
;40;;;0;;0;150;;;;;1;;;2;2;1;3;9;7;99;0;5.01.2021;19.01.2021;14
;317;;;0;;0;9363;;;;;3;;300;13;13;38;3;1;78;99;0;22.01.2021;29.01.2021;7
73;6;33;16;1;;15;0;;;0;IPEKSI APRE;1;17;250;2.082;2.082;47;2;9;126;99;0;2.03.2022;21.03.2022;19
;317;;;0;;0;3100;;;;;6;;200;32;1;14;3;9;41;99;1;2.02.2021;12.02.2021;10
;317;;;0;;0;3680;;;;;1;2;;48;47;;;;;99;0;9.03.2022;17.03.2022;8
;317;;;0;;0;4947;;;0;;3;;;151;151;38;3;1;78;99;0;5.01.2021;13.01.2021;8
;317;;;0;;0;640;;;;;1;2;;48;47;;;;;99;0;9.03.2022;17.03.2022;8
;317;;;0;;0;10;;;0;;3;19;200;209;209;;;;;99;0;18.08.2021;15.03.2022;209
;317;;;0;;0;15;;;;;1;19;80;136;136;;;;;99;0;4.03.2022;19.03.2022;15
;317;;;0;;0;1200;;;0;;0;;330;58;58;17;3;1;13;99;0;2.03.2022;12.03.2022;10
;317;;;0;;0;100;;;;;1;;;2;2;1;3;8;7;99;0;23.12.2020;5.01.2021;13
;317;;;0;;0;25;;;0;;3;1;;24;24;;;;;99;1;24.03.2021;27.03.2021;3
;317;;;0;;0;1553;;;0;;1;;;1;1;1;3;5;7;99;1;5.01.2021;20.01.2021;15
;317;;;0;;0;1553;;;;;1;;;1;1;1;3;9;7;99;1;5.01.2021;2.04.2021;87
;317;;;0;;0;517;;;0;;3;;295;15;15;38;3;1;78;99;0;6.01.2021;12.01.2021;6
;1.777;;;0;;0;15;;;;;3;1;;24;24;;;;;99;0;6.01.2021;8.01.2021;2
;317;;;0;;0;4345;;;;;1;1;215;94;94;8;3;1;10;99;0;5.01.2021;14.01.2021;9
;1.089;;;0;;0;56;;;0;;1;;;55;55;;;;;99;0;5.01.2021;6.01.2021;1
;317;;;0;;0;10;;;;;1;2;100;48;47;;;;;99;0;2.12.2020;15.01.2021;44
;317;;;0;;0;994;;;;;1;1;295;184;6;2;3;9;8;99;1;6.01.2021;2.03.2021;55
;317;;;0;;0;1519;;;0;;3;;;15;15;38;3;1;78;99;0;8.01.2021;16.01.2021;8
63;22;33;;0;;20;0;;;0;ENZİM, SİLİKON;6;;145;500;500;47;2;9;126;99;0;4.03.2022;8.03.2022;4
;317;;;0;;0;994;;;;;1;1;295;173;173;;;;;99;0;6.01.2021;20.01.2021;14
;705;;;0;;0;10;;;;;1;2;;84;84;17;3;1;13;99;0;11.12.2020;19.01.2021;39
;705;;;0;;0;10;;;;;1;2;;84;84;17;3;1;13;99;0;11.12.2020;13.01.2021;33
